fighter,lore,cluster,fighting_style
EDDIE SANCHEZ,"Born in the tough streets of their homeland, EDDIE SANCHEZ discovered fighting as an escape from adversity. EDDIE SANCHEZ brings a high-volume striking attack to every fight, throwing over 24.1 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",9,
EDDIE WINELAND,"With roots in their homeland, EDDIE WINELAND defied expectations to become a force in the octagon. EDDIE WINELAND brings a high-volume striking attack to every fight, throwing over 9.1 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
EDMEN SHAHBAZYAN,"Hailing from a small town, EDMEN SHAHBAZYAN grew up competing in underground circuits before making it to the big stage. In the octagon, EDMEN SHAHBAZYAN is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 17.6 significant strikes per minute with deadly accuracy.",1,
EDSON BARBOZA,"From humble origins, EDSON BARBOZA earned every opportunity on their journey to the UFC. EDSON BARBOZA brings a high-volume striking attack to every fight, throwing over 18.7 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
EDWIN FIGUEROA,"Born in the tough streets of their homeland, EDWIN FIGUEROA discovered fighting as an escape from adversity. EDWIN FIGUEROA brings a high-volume striking attack to every fight, throwing over 10.4 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
EFRAIN ESCUDERO,"Hailing from a small town, EFRAIN ESCUDERO grew up competing in underground circuits before making it to the big stage. EFRAIN ESCUDERO brings a high-volume striking attack to every fight, throwing over 8.3 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
ELIAS SILVERIO,"From humble origins, ELIAS SILVERIO earned every opportunity on their journey to the UFC. As a versatile fighter, ELIAS SILVERIO maintains constant pressure with over 11.3 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",3,
ELIAS THEODOROU,"With roots in their homeland, ELIAS THEODOROU defied expectations to become a force in the octagon. ELIAS THEODOROU brings a high-volume striking attack to every fight, throwing over 12.0 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
ELIOT MARSHALL,"Hailing from a small town, ELIOT MARSHALL grew up competing in underground circuits before making it to the big stage. ELIOT MARSHALL brings a high-volume striking attack to every fight, throwing over 4.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
ELISE REED,"From humble origins, ELISE REED earned every opportunity on their journey to the UFC. ELISE REED brings a high-volume striking attack to every fight, throwing over 10.7 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
ELIZEU ZALESKI DOS SANTOS,"With roots in their homeland, ELIZEU ZALESKI DOS SANTOS defied expectations to become a force in the octagon. ELIZEU ZALESKI DOS SANTOS brings a high-volume striking attack to every fight, throwing over 12.1 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
ELVES BRENER,"Born in the tough streets of their homeland, ELVES BRENER discovered fighting as an escape from adversity. ELVES BRENER brings a high-volume striking attack to every fight, throwing over 11.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
ELVIS SINOSIC,"With roots in their homeland, ELVIS SINOSIC defied expectations to become a force in the octagon. ELVIS SINOSIC brings a versatile fighter approach to the octagon, adapting their game plan based on the opponent and situation.",0,
EMILY DUCOTE,"Born in the tough streets of their homeland, EMILY DUCOTE discovered fighting as an escape from adversity. As a versatile fighter, EMILY DUCOTE maintains constant pressure with over 22.4 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",9,
EMILY WHITMIRE,"From humble origins, EMILY WHITMIRE earned every opportunity on their journey to the UFC. EMILY WHITMIRE excels as a versatile fighter with dominant grappling skills, controlling fights on the ground with 68% control time and 62% takedown accuracy, suffocating opponents with pressure and technique.",2,
ENRIQUE BARZOLA,"Born in the tough streets of their homeland, ENRIQUE BARZOLA discovered fighting as an escape from adversity. ENRIQUE BARZOLA brings a high-volume striking attack to every fight, throwing over 11.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
ERIC SCHAFER,"With roots in their homeland, ERIC SCHAFER defied expectations to become a force in the octagon. In the octagon, ERIC SCHAFER is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 4.0 significant strikes per minute with deadly accuracy.",1,
ERIC SHELTON,"Born in the tough streets of their homeland, ERIC SHELTON discovered fighting as an escape from adversity. ERIC SHELTON brings a high-volume striking attack to every fight, throwing over 7.7 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
ERIC SPICELY,"Born in the tough streets of their homeland, ERIC SPICELY discovered fighting as an escape from adversity. In the octagon, ERIC SPICELY is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 6.7 significant strikes per minute with deadly accuracy.",8,
ERICK SILVA,"Born in the tough streets of their homeland, ERICK SILVA discovered fighting as an escape from adversity. As a versatile fighter, ERICK SILVA maintains constant pressure with over 7.9 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",7,
ERIK KOCH,"From humble origins, ERIK KOCH earned every opportunity on their journey to the UFC. ERIK KOCH brings a high-volume striking attack to every fight, throwing over 6.3 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
ERIK PEREZ,"With roots in their homeland, ERIK PEREZ defied expectations to become a force in the octagon. ERIK PEREZ brings a high-volume striking attack to every fight, throwing over 10.4 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
ERIN BLANCHFIELD,"With roots in their homeland, ERIN BLANCHFIELD defied expectations to become a force in the octagon. In the octagon, ERIN BLANCHFIELD is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 18.3 significant strikes per minute with deadly accuracy.",8,
ERYK ANDERS,"Born in the tough streets of their homeland, ERYK ANDERS discovered fighting as an escape from adversity. ERYK ANDERS brings a high-volume striking attack to every fight, throwing over 9.6 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
EUGENE JACKSON,"Hailing from a small town, EUGENE JACKSON grew up competing in underground circuits before making it to the big stage. EUGENE JACKSON is a versatile fighter with a well-rounded skill set, combining 3.6 strikes per minute with 33% takedown accuracy, making them dangerous in all phases of combat.",4,
EVAN DUNHAM,"From humble origins, EVAN DUNHAM earned every opportunity on their journey to the UFC. EVAN DUNHAM brings a high-volume striking attack to every fight, throwing over 12.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
EVAN TANNER,"With roots in their homeland, EVAN TANNER defied expectations to become a force in the octagon. As a versatile fighter, EVAN TANNER maintains constant pressure with over 5.5 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",1,
FABIANO IHA,"From humble origins, FABIANO IHA earned every opportunity on their journey to the UFC. FABIANO IHA excels as a versatile fighter with dominant grappling skills, controlling fights on the ground with 45% control time and 57% takedown accuracy, suffocating opponents with pressure and technique.",0,
FABIO MALDONADO,"Born in the tough streets of their homeland, FABIO MALDONADO discovered fighting as an escape from adversity. In the octagon, FABIO MALDONADO is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 21.9 significant strikes per minute with deadly accuracy.",9,
FABRICIO CAMOES,"With roots in their homeland, FABRICIO CAMOES defied expectations to become a force in the octagon. FABRICIO CAMOES brings a versatile fighter approach to the octagon, adapting their game plan based on the opponent and situation.",0,
FABRICIO WERDUM,"From humble origins, FABRICIO WERDUM earned every opportunity on their journey to the UFC. As a versatile fighter, FABRICIO WERDUM maintains constant pressure with over 13.6 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",0,
FARES ZIAM,"Hailing from a small town, FARES ZIAM grew up competing in underground circuits before making it to the big stage. As a versatile fighter, FARES ZIAM maintains constant pressure with over 8.7 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",0,
